"Dataset","Method","n","R_G1","R_S","R_G2M","CyclicOrder","Concentration","C_null","p_C","tau_cyc","tau_null","p_tau","tau_dir"
"Nestorowa HSC","ACPL",1920,0.3726,0.3122,0.5042,"reversed-handedness",0.3963,0.0306,0.001,0.4401,0.0365,0.001,"reversed"
"Nestorowa HSC","MST",1920,0.3219,0.2474,0.4442,"correct",0.3378,0.0308,0.001,0.3548,0.0361,0.001,"forward"
"Nestorowa HSC","Slingshot",1920,0.3577,0.2639,0.5156,"correct",0.3791,0.032,0.001,0.3452,0.036,0.001,"reversed"
"Buettner mESC","ACPL",288,0.519,0.4118,0.6117,"reversed-handedness",0.5141,0.074,0.001,0.4311,0.094,0.001,"reversed"
"Buettner mESC","MST",288,0.4718,0.2614,0.5786,"correct",0.4373,0.0743,0.001,0.4638,0.0936,0.001,"forward"
"Buettner mESC","Slingshot",288,0.5386,0.2732,0.5988,"correct",0.4702,0.0753,0.001,0.4765,0.0924,0.001,"forward"
"Leng hESC","ACPL",247,0.7872,0.7649,0.763,"correct",0.7717,0.0802,0.001,0.7814,0.1001,0.001,"forward"
"Leng hESC","MST",247,0.7875,0.6754,0.7334,"correct",0.7321,0.0806,0.001,0.7605,0.1007,0.001,"forward"
"Leng hESC","Slingshot",247,0.7912,0.7612,0.7462,"correct",0.7662,0.0792,0.001,0.7749,0.1015,0.001,"forward"
"Richard T cells","ACPL",572,0.076,0.2691,0.4354,"correct",0.2602,0.0539,0.001,0.1704,0.0648,0.001,"forward"
"Richard T cells","MST",572,0.0644,0.2096,0.4062,"correct",0.2267,0.0545,0.001,0.1442,0.0669,0.001,"forward"
"Richard T cells","Slingshot",572,0.0951,0.1633,0.2524,"correct",0.1703,0.0541,0.001,0.1388,0.0666,0.001,"forward"
