"Dataset","Method","w","SWSA","Ties","NoDir","Directional","n_indep","P_inc","CI_lo","CI_hi","p"
"Nestorowa HSC","ACPL",1,77.332,54.403,77.202,0.13,875,0.5029,0.4692,0.5365,0.8924
"Nestorowa HSC","ACPL",2,77.059,54.275,77.138,-0.078,425,0.4941,0.4456,0.5427,0.8462
"Nestorowa HSC","ACPL",5,77.755,55.144,77.572,0.183,169,0.497,0.4193,0.5748,1
"Nestorowa HSC","ACPL",10,77.068,54.293,77.147,-0.079,82,0.5244,0.4111,0.6359,0.7407
"Nestorowa HSC","ACPL",20,76.526,53.158,76.579,-0.053,46,0.4783,0.3289,0.6305,0.883
"Nestorowa HSC","ACPL",50,75.829,51.765,75.882,-0.053,21,0.4762,0.2571,0.7022,1
"Nestorowa HSC","ACPL",100,74.615,50.495,75.247,-0.632,7,0.4286,0.099,0.8159,1
"Nestorowa HSC","ACPL",200,71.163,43.663,71.831,-0.669,5,0.4,0.0527,0.8534,1
"Nestorowa HSC","MST",1,75.039,50.182,75.091,-0.052,956,0.499,0.4668,0.5311,0.9742
"Nestorowa HSC","MST",2,75.13,50.678,75.339,-0.209,479,0.499,0.4533,0.5447,1
"Nestorowa HSC","MST",5,75.822,51.07,75.535,0.287,189,0.5132,0.4396,0.5864,0.7712
"Nestorowa HSC","MST",10,75.812,51.414,75.707,0.105,96,0.5104,0.4063,0.6139,0.9188
"Nestorowa HSC","MST",20,74.632,48.684,74.342,0.289,53,0.4906,0.3506,0.6316,1
"Nestorowa HSC","MST",50,76.578,50.642,75.321,1.257,21,0.5238,0.2978,0.7429,1
"Nestorowa HSC","MST",100,75.659,47.198,73.599,2.06,10,0.5,0.1871,0.8129,1
"Nestorowa HSC","MST",200,76.337,44.419,72.209,4.128,5,0.6,0.1466,0.9473,1
"Nestorowa HSC","Slingshot",1,76.133,52.632,76.316,-0.182,909,0.4961,0.4632,0.5292,0.8423
"Nestorowa HSC","Slingshot",2,75.86,52.138,76.069,-0.209,469,0.4947,0.4485,0.5409,0.8535
"Nestorowa HSC","Slingshot",5,75.875,51.645,75.822,0.052,169,0.503,0.4252,0.5807,1
"Nestorowa HSC","Slingshot",10,76.387,52.984,76.492,-0.105,85,0.5059,0.3952,0.6161,1
"Nestorowa HSC","Slingshot",20,76.263,52.632,76.316,-0.053,45,0.5333,0.3787,0.6834,0.766
"Nestorowa HSC","Slingshot",50,74.92,50.267,75.134,-0.214,14,0.5,0.2304,0.7696,1
"Nestorowa HSC","Slingshot",100,74.725,48.462,74.231,0.495,8,0.5,0.157,0.843,1
"Nestorowa HSC","Slingshot",200,74.128,45.581,72.791,1.337,3,0.6667,0.0943,0.9916,1
"Buettner mESC","ACPL",1,75.958,51.568,75.784,0.174,139,0.5036,0.4176,0.5894,1
"Buettner mESC","ACPL",2,75.524,52.098,76.049,-0.524,63,0.4921,0.3638,0.6211,1
