"Dataset","Comparison","n","B","Diff","CI_lo","CI_hi","SE","p_boot","p_holm","Sig_raw","Sig_holm","Bonf_lo","Bonf_hi","Bonf_excl0"
"Nestorowa HSC","ACPL (UMAP) - MST (UMAP)",1920,2000,0.0951,0.0688,0.115,0.01183,0.0009995,0.01599,TRUE,TRUE,0.0601,0.1301,TRUE
"Nestorowa HSC","ACPL (UMAP) - MST (PCA native)",1920,2000,0.2026,0.1619,0.2296,0.01717,0.0009995,0.01599,TRUE,TRUE,0.1519,0.2533,TRUE
"Nestorowa HSC","ACPL (UMAP) - Sling (UMAP)",1920,2000,0.1047,0.075,0.1272,0.01383,0.0009995,0.01599,TRUE,TRUE,0.0638,0.1456,TRUE
"Nestorowa HSC","ACPL (UMAP) - Sling (PCA native)",1920,2000,0.0402,0.0115,0.0692,0.01525,0.006997,0.06997,TRUE,FALSE,-0.0049,0.0853,FALSE
"Buettner mESC","ACPL (UMAP) - MST (UMAP)",288,2000,-0.0327,-0.1019,0.0331,0.03536,0.3068,1,FALSE,FALSE,-0.1372,0.0718,FALSE
"Buettner mESC","ACPL (UMAP) - MST (PCA native)",288,2000,0.2693,0.1493,0.3462,0.05057,0.0009995,0.01599,TRUE,TRUE,0.1199,0.4187,TRUE
"Buettner mESC","ACPL (UMAP) - Sling (UMAP)",288,2000,-0.0567,-0.1218,0.0152,0.03443,0.1109,0.9891,FALSE,FALSE,-0.1584,0.045,FALSE
"Buettner mESC","ACPL (UMAP) - Sling (PCA native)",288,2000,0.0371,-0.0351,0.1074,0.03634,0.3398,1,FALSE,FALSE,-0.0703,0.1445,FALSE
"Leng hESC","ACPL (UMAP) - MST (UMAP)",247,2000,0.0209,-0.0044,0.0467,0.01302,0.1149,0.9891,FALSE,FALSE,-0.0176,0.0594,FALSE
"Leng hESC","ACPL (UMAP) - MST (PCA native)",247,2000,0.313,0.2133,0.3873,0.0446,0.0009995,0.01599,TRUE,TRUE,0.1812,0.4448,TRUE
"Leng hESC","ACPL (UMAP) - Sling (UMAP)",247,2000,0.0065,-9e-04,0.0151,0.00416,0.1099,0.9891,FALSE,FALSE,-0.0058,0.0188,FALSE
"Leng hESC","ACPL (UMAP) - Sling (PCA native)",247,2000,0.0851,0.0312,0.1381,0.02754,0.001999,0.02199,TRUE,TRUE,0.0037,0.1665,TRUE
"Richard T cells","ACPL (UMAP) - MST (UMAP)",572,2000,0.0262,-0.0229,0.0497,0.01869,0.4788,1,FALSE,FALSE,-0.029,0.0814,FALSE
"Richard T cells","ACPL (UMAP) - MST (PCA native)",572,2000,0.0663,-0.0139,0.116,0.0333,0.1259,0.9891,FALSE,FALSE,-0.0321,0.1647,FALSE
"Richard T cells","ACPL (UMAP) - Sling (UMAP)",572,2000,0.0317,-0.0141,0.0707,0.02174,0.1939,0.9891,FALSE,FALSE,-0.0325,0.0959,FALSE
"Richard T cells","ACPL (UMAP) - Sling (PCA native)",572,2000,0.0658,-0.0306,0.1114,0.03661,0.2729,1,FALSE,FALSE,-0.0424,0.174,FALSE
