"Dataset","Method","Input","Chance","SWSA","Corrected","Circ_cor","p_circ"
"Nestorowa HSC","ACPL","UMAP-2D",69.31,77.07,25.28,0.0475,0.034
"Nestorowa HSC","MST","UMAP-2D",69.31,75.81,21.19,0.2666,5e-04
"Nestorowa HSC","MST","PCA-10 (native)",69.31,71.99,8.74,0.1657,5e-04
"Nestorowa HSC","Slingshot","UMAP-2D",69.31,76.39,23.07,-0.1657,5e-04
"Nestorowa HSC","Slingshot","PCA-10 (native)",69.31,77.17,25.63,0.2347,5e-04
"Buettner mESC","ACPL","UMAP-2D",66.67,75.54,26.62,0.0578,0.3178
"Buettner mESC","MST","UMAP-2D",66.67,76.98,30.94,0.5904,5e-04
"Buettner mESC","MST","PCA-10 (native)",66.67,68.71,6.12,-0.1415,0.012
"Buettner mESC","Slingshot","UMAP-2D",66.67,79.14,37.41,-0.5773,5e-04
"Buettner mESC","Slingshot","PCA-10 (native)",66.67,73.74,21.22,0.5097,5e-04
"Leng hESC","ACPL","UMAP-2D",66.77,95.36,86.03,0.0423,0.5017
"Leng hESC","MST","UMAP-2D",66.77,94.51,83.5,0.0052,0.9385
"Leng hESC","MST","PCA-10 (native)",66.77,81.43,44.14,0.4087,5e-04
"Leng hESC","Slingshot","UMAP-2D",66.77,95.36,86.03,0.557,5e-04
"Leng hESC","Slingshot","PCA-10 (native)",66.77,87.76,63.18,0.6005,5e-04
"Richard T cells","ACPL","UMAP-2D",67.59,70.28,8.31,0.269,5e-04
"Richard T cells","MST","UMAP-2D",67.59,69.04,4.47,-0.206,5e-04
"Richard T cells","MST","PCA-10 (native)",67.59,67.97,1.17,-0.2839,5e-04
"Richard T cells","Slingshot","UMAP-2D",67.59,69.75,6.66,0.0619,0.1459
"Richard T cells","Slingshot","PCA-10 (native)",67.59,72.42,14.9,-0.1984,5e-04
