"Dataset","Method","Direction","RI","ARI","NMI","Acc","SWSA_w10"
"Nestorowa HSC","ACPL","forward",0.57102,0.0712,0.06579,0.42031,77.068
"Nestorowa HSC","ACPL","REVERSED",0.57102,0.0712,0.06579,0.42031,77.225
"Nestorowa HSC","MST","forward",0.58179,0.09452,0.09524,0.44844,75.812
"Nestorowa HSC","MST","REVERSED",0.58179,0.09452,0.09524,0.44844,75.602
"Nestorowa HSC","Slingshot","forward",0.5718,0.07289,0.07362,0.43177,76.387
"Nestorowa HSC","Slingshot","REVERSED",0.5718,0.07289,0.07362,0.43177,76.911
"Buettner mESC","ACPL","forward",0.655,0.22103,0.23022,0.61806,75.54
"Buettner mESC","ACPL","REVERSED",0.655,0.22103,0.23022,0.61806,76.259
"Buettner mESC","MST","forward",0.64208,0.19185,0.19266,0.59722,76.978
"Buettner mESC","MST","REVERSED",0.64208,0.19185,0.19266,0.59722,71.583
"Buettner mESC","Slingshot","forward",0.64615,0.20103,0.17874,0.62847,79.137
"Buettner mESC","Slingshot","REVERSED",0.64615,0.20103,0.17874,0.62847,78.058
"Leng hESC","ACPL","forward",0.86761,0.70136,0.6715,0.88664,95.359
"Leng hESC","ACPL","REVERSED",0.85932,0.68265,0.6574,0.87854,87.764
"Leng hESC","MST","forward",0.84069,0.64063,0.63271,0.85425,94.515
"Leng hESC","MST","REVERSED",0.83944,0.6378,0.63108,0.85425,86.498
"Leng hESC","Slingshot","forward",0.86761,0.70136,0.6715,0.88664,95.359
"Leng hESC","Slingshot","REVERSED",0.85932,0.68265,0.6574,0.87854,88.186
"Richard T cells","ACPL","forward",0.57271,0.05022,0.0606,0.46853,70.285
"Richard T cells","ACPL","REVERSED",0.57271,0.05022,0.0606,0.46853,68.861
"Richard T cells","MST","forward",0.56612,0.03557,0.04859,0.41958,69.039
"Richard T cells","MST","REVERSED",0.56612,0.03557,0.04859,0.41958,68.149
"Richard T cells","Slingshot","forward",0.55305,0.00653,0.00953,0.37587,69.751
"Richard T cells","Slingshot","REVERSED",0.55305,0.00653,0.00953,0.37587,69.751
